10009338;2;2490;;;
10012079;0;2390;;;
10048443;0;690;;;
10048450;2;690;;;
10048467;0;690;;;
10048474;2;690;;;
10048481;0;690;;;
10048498;0;690;;;
10048504;2;690;;;
10048511;2;690;;;
10048528;0;690;;;
10048535;0;690;;;
10048542;0;690;;;
10048559;0;690;;;
10048566;0;690;;;
10048573;0;690;;;
10048580;0;690;;;
10048597;0;690;;;
10054208;0;6990;;;
10063927;2;7990;;;
10069516;0;4990;;;
10081082;2;1490;;;
10086346;2;1290;;;
10086353;2;1590;;;
10086971;0;1190;;;
10087077;0;1290;;;
10096628;0;5990;;;
10097229;0;7990;;;
10109786;0;1190;;;
10113349;2;2390;;;
10113356;2;2390;;;
10115749;0;3590;;;
10117224;2;4490;;;
10119280;0;8990;;;
10119990;2;4290;;;
10120002;0;3990;;;
10120019;2;3290;;;
10120026;2;2190;;;
10120910;2;1690;;;
10120927;2;1790;;;
10124680;0;3290;;;
10124697;0;790;;;
10124703;2;2190;;;
10124710;0;1690;;;
10124727;0;2990;;;
10124734;0;2990;;;
10124741;2;2490;;;
10124758;0;2490;;;
10124765;0;1190;;;
10124772;2;1990;;;
10124789;0;1690;;;
10124796;0;2890;;;
10124802;0;2690;;;
10124819;0;990;;;
10124826;0;990;;;
10124833;0;2990;;;
10124840;0;2990;;;
10124857;0;2990;;;
10124864;0;2990;;;
10124871;0;2990;;;
10124888;0;2990;;;
10124895;0;4590;;;
10124901;0;2990;;;
10124918;2;4990;;;
10124925;2;2190;;;
10124932;0;4790;;;
10124949;0;1490;;;
10124956;0;1490;;;
10124963;0;4490;;;
10124970;0;1690;;;
10128145;0;3690;;;
10128275;0;9990;;;
10128824;2;9990;;;
10128831;2;1890;;;
10128879;2;7590;;;
10128886;2;8590;;;
10131596;0;1690;;;
10132111;2;890;;;
10132128;0;890;;;
10132159;2;890;;;
10132197;0;890;;;
10132203;0;890;;;
10133682;2;890;;;
10133699;2;890;;;
10133705;0;890;;;
10133736;2;890;;;
10133743;2;890;;;
10133750;2;890;;;
10135105;2;4990;;;
10135112;0;2990;;;
10135594;2;2990;;;
10135600;0;2990;;;
10138878;2;2390;;;
10138885;2;2390;;;
10138892;2;2390;;;
10139394;2;4990;;;
10139523;2;16900;;;
10139530;0;7490;;;
10139547;0;24900;;;
10139622;0;10900;;;
10140666;2;7990;;;
10140703;0;3690;;;
10140710;2;9990;;;
10140888;2;2390;;;
10140895;2;2390;;;
10140901;0;2390;;;
10140918;0;2390;;;
10143957;2;3690;;;
10145500;0;6990;;;
10146231;2;2990;;;
10146255;2;7990;;;
10146262;2;399;;;
10146880;2;3490;;;
10146897;2;5990;;;
10146903;0;7590;;;
10149492;2;890;;;
10150047;0;990;;;
10150054;2;990;;;
10150061;0;1490;;;
10150078;0;1990;;;
10150139;2;2890;;;
10153208;0;3690;;;
10153727;2;5990;;;
10153734;2;5990;;;
10153741;2;5990;;;
10154731;0;5990;;;
10156278;0;10900;;;
10157619;0;10900;;;
10157985;0;3290;;;
10159163;2;3290;;;
10159170;2;2590;;;
10159187;2;2190;;;
10159194;0;2390;;;
10159200;0;2390;;;
10161180;0;29900;;;
10161418;2;3290;;;
10161425;0;3290;;;
10161432;0;3290;;;
10161449;2;3290;;;
